 Police_SIN  Department  Num_Events_Handled  Departmental_Rank
670 188 465          92                 130                  4
804 665 511          92                 127                  6
654 881 309          92                 118                  7
758 251 037          92                 111                  8
886 740 166          92                 108                  9
601 731 748          92                 105                 10
607 687 258          93                 134                  1
268 853 454          93                 125                  2
227 013 562          93                 122                  3
720 324 375          93                 122                  3
053 377 826          93                 118                  5
473 305 712          93                 117                  6
372 388 124          93                 114                  7
873 375 406          93                 114                  7
144 307 717          93                 108                  9
376 102 745          93                 103                 10
386 207 815          94                 125                  1
064 418 270          94                 110                  2
771 461 068          95                 129                  1
722 554 037          95                 123                  2
178 340 766          95                 122                  3
441 703 386          95                 118                  4
315 470 120          95                 116                  5
266 017 888          95                 113                  6
340 568 526          95                 113                  6
283 417 400          95                 112                  8
661 450 726          95                 104                  9
726 420 169          95                 102                 10
233 210 749          95                 101                 11
772 603 445          96                 130                  1
165 824 624          96                 125                  2
817 067 168          96                 124                  3
413 774 100          96                 119                  4
405 834 250          96                 116                  5
862 548 039          96                 116                  5
178 220 760          96                 115                  7
711 350 447          96                 111                  8
477 114 037          96                 105                  9
864 108 139          96                 102                 10
770 446 656          97                 124                  1
273 814 038          97                 118                  2
083 561 472          97                 117                  3
277 043 162          97                 115                  4
261 860 878          97                 112                  5
028 776 656          97                 108                  6
556 881 308          97                 104                  7
028 533 776          98                 143                  1
853 061 521          98                 136                  2
607 744 315          98                 124                  3
021 786 231          98                 116                  4
201 266 749          98                 115                  5
526 820 162          98                 112                  6
315 348 102          98                 104                  7
431 156 702          98                 101                  8
177 164 407          98                 100                  9
718 732 654          98                 100                  9
401 674 536          99                 126                  1
642 845 069          99                 122                  2
381 152 602          99                 120                  3
677 211 302          99                 120                  3
240 738 625          99                 112                  5
411 388 564          99                 108                  6
043 228 535          99                 102                  7
754 651 602          99                 100                  8
064 168 149          99                  89                  9
765 011 648         100                 140                  1
177 043 817         100                 122                  2
355 861 402         100                 119                  3
033 817 412         100                 118                  4
065 411 720         100                 114                  5
276 608 445         100                 112                  6
173 472 606         100                 110                  7
